Sample,RED,IR
0,118545,131500
1,118545,131514
2,118575,131543
3,118581,131602
4,118619,131677
5,118643,131746
6,118663,131818
7,118688,131901
8,118727,131967
9,118743,132046
10,118771,132102
11,118789,132161
12,118810,132239
13,118833,132303
14,118856,132355
15,118832,132288
16,118746,132048
17,118682,131834
18,118647,131752
19,118652,131732
20,118666,131743
21,118675,131791
22,118689,131832
23,118698,131856
24,118708,131854
25,118707,131870
26,118728,131908
27,118744,131957
28,118754,132015
29,118787,132088
30,118799,132147
31,118831,132219
32,118849,132274
33,118869,132324
34,118884,132380
35,118903,132441
36,118931,132516
37,118932,132537
38,118875,132376
39,118802,132139
40,118755,131997
41,118737,131954
42,118737,131964
43,118751,131990
44,118761,132037
45,118765,132047
46,118777,132042
47,118762,132039
48,118768,132047
49,118783,132076
50,118785,132132
51,118813,132175
52,118828,132237
53,118841,132277
54,118847,132308
55,118836,132340
56,118859,132363
57,118864,132402
58,118868,132447
59,118862,132432
60,118785,132235
61,118706,131970
62,118645,131817
63,118626,131752
64,118637,131752
65,118639,131779
66,118651,131792
67,118650,131796
68,118635,131752
69,118614,131729
70,118607,131722
71,118625,131762
72,118628,131805
73,118636,131846
74,118651,131897
75,118653,131948
76,118675,132005
77,118689,132052
78,118693,132107
79,118701,132145
80,118726,132198
81,118692,132126
82,118596,131839
83,118500,131557
84,118441,131415
85,118419,131344
86,118396,131299
87,118391,131278
88,118393,131303
89,118381,131304
90,118375,131287
91,118368,131272
92,118368,131288
93,118376,131338
94,118404,131389
95,118401,131453
96,118417,131509
97,118431,131558
98,118455,131617
99,118463,131665
